time,G(i),H_sun,T2m,WS10m,Int
20110107:1210,225.85,27.2,10.52,4.14,0.0
20110107:1310,208.63,26.22,11.09,4.62,0.0
20110107:1410,232.49,22.31,11.46,4.41,0.0
20110107:1510,196.93,15.94,11.66,4.07,0.0
20110107:1610,75.9,7.72,11.28,3.59,0.0
20110107:1710,0.0,0.0,10.6,3.1,0.0
20110107:1810,0.0,0.0,9.52,2.76,0.0
20110107:1910,0.0,0.0,8.89,3.1,0.0
20110107:2010,0.0,0.0,8.82,3.03,0.0
20110107:2110,0.0,0.0,8.53,3.31,0.0
20110107:2210,0.0,0.0,8.53,3.38,0.0
20110107:2310,0.0,0.0,8.44,3.45,0.0
20110108:0010,0.0,0.0,8.55,3.72,0.0
20110108:0110,0.0,0.0,8.51,4.0,0.0
20110108:0210,0.0,0.0,8.53,4.07,0.0
20110108:0310,0.0,0.0,8.55,3.72,0.0
20110108:0410,0.0,0.0,8.56,3.72,0.0
20110108:0510,0.0,0.0,8.44,3.59,0.0
20110108:0610,0.0,0.0,8.35,3.45,0.0
20110108:0710,0.0,0.0,8.59,3.86,0.0
20110108:0810,62.66,4.4,8.61,3.66,0.0
20110108:0910,16.68,13.19,8.86,3.38,0.0
20110108:1010,62.07,20.32,9.23,3.24,0.0
20110108:1110,491.12,25.21,10.36,4.41,0.0
20110108:1210,858.83,27.32,11.37,4.62,0.0
20110108:1310,182.39,26.36,11.9,4.62,0.0
20110108:1410,176.13,22.46,11.9,4.14,0.0
20110108:1510,88.8,16.1,11.49,3.24,0.0
20110108:1610,32.43,7.88,10.71,4.0,0.0
20110108:1710,0.0,0.0,9.91,4.34,0.0
20110108:1810,0.0,0.0,9.67,4.41,0.0
20110108:1910,0.0,0.0,9.32,4.07,0.0
20110108:2010,0.0,0.0,9.01,3.52,0.0
20110108:2110,0.0,0.0,8.46,3.31,0.0
20110108:2210,0.0,0.0,7.84,3.31,0.0
20110108:2310,0.0,0.0,7.4,2.9,0.0
20110109:0010,0.0,0.0,7.18,2.69,0.0
20110109:0110,0.0,0.0,6.99,2.21,0.0
20110109:0210,0.0,0.0,7.11,2.28,0.0
20110109:0310,0.0,0.0,7.08,2.34,0.0
20110109:0410,0.0,0.0,6.83,2.21,0.0
20110109:0510,0.0,0.0,6.57,2.0,0.0
20110109:0610,0.0,0.0,6.38,1.66,0.0
20110109:0710,0.0,0.0,6.55,2.0,0.0
20110109:0810,211.61,4.44,6.36,1.86,0.0
20110109:0910,495.36,13.24,6.7,2.62,0.0
20110109:1010,431.23,20.4,7.07,2.28,0.0
20110109:1110,317.18,25.32,7.94,2.14,0.0
20110109:1210,270.28,27.46,8.71,2.21,0.0
20110109:1310,142.12,26.51,9.36,2.07,0.0
20110109:1410,31.5,22.63,9.82,1.93,0.0
20110109:1510,613.82,16.27,9.43,1.72,0.0
20110109:1610,341.1,8.04,8.69,1.72,0.0
20110109:1710,0.0,0.0,7.91,1.1,0.0
20110109:1810,0.0,0.0,7.09,0.69,0.0
20110109:1910,0.0,0.0,6.29,0.9,0.0
20110109:2010,0.0,0.0,5.97,0.9,0.0
20110109:2110,0.0,0.0,5.63,0.97,0.0
20110109:2210,0.0,0.0,5.05,1.03,0.0
20110109:2310,0.0,0.0,4.69,0.9,0.0
20110110:0010,0.0,0.0,4.15,0.9,0.0
20110110:0110,0.0,0.0,3.72,1.1,0.0
20110110:0210,0.0,0.0,3.92,0.9,0.0
20110110:0310,0.0,0.0,3.7,0.9,0.0
20110110:0410,0.0,0.0,3.34,0.97,0.0
20110110:0510,0.0,0.0,3.23,1.03,0.0
20110110:0610,0.0,0.0,3.04,1.03,0.0
20110110:0710,0.0,0.0,2.09,1.17,0.0
20110110:0810,213.36,4.48,1.67,1.03,0.0
20110110:0910,325.77,13.31,3.49,1.24,0.0
20110110:1010,257.57,20.49,5.0,1.59,0.0
20110110:1110,324.96,25.44,6.17,2.34,0.0
20110110:1210,300.23,27.6,7.33,2.97,0.0
20110110:1310,170.24,26.67,8.13,3.52,0.0
20110110:1410,155.44,22.79,8.17,3.38,0.0
20110110:1510,49.1,16.44,7.8,3.24,0.0
20110110:1610,16.68,8.21,7.46,2.83,0.0
20110110:1710,0.0,0.0,6.93,2.55,0.0
20110110:1810,0.0,0.0,6.16,2.69,0.0
20110110:1910,0.0,0.0,4.78,2.55,0.0
20110110:2010,0.0,0.0,4.56,2.48,0.0
20110110:2110,0.0,0.0,4.75,2.55,0.0
20110110:2210,0.0,0.0,5.09,2.69,0.0
20110110:2310,0.0,0.0,5.47,2.76,0.0
20110111:0010,0.0,0.0,5.45,2.69,0.0
20110111:0110,0.0,0.0,5.65,2.55,0.0
20110111:0210,0.0,0.0,5.73,2.28,0.0
20110111:0310,0.0,0.0,5.95,2.21,0.0
20110111:0410,0.0,0.0,6.02,2.07,0.0
20110111:0510,0.0,0.0,5.94,2.0,0.0
20110111:0610,0.0,0.0,5.94,1.93,0.0
20110111:0710,0.0,0.0,7.04,1.72,0.0
20110111:0810,120.44,4.53,6.99,1.79,0.0
20110111:0910,433.24,13.38,7.84,1.86,0.0
20110111:1010,734.6,20.59,9.07,2.28,0.0
20110111:1110,839.48,25.56,9.92,2.55,0.0
20110111:1210,949.83,27.75,10.97,3.24,0.0
20110111:1310,893.52,26.84,12.19,3.86,0.0
20110111:1410,218.35,22.97,12.95,3.52,0.0
20110111:1510,239.35,16.62,12.78,2.34,0.0
20110111:1610,236.43,8.39,12.54,2.21,0.0
20110111:1710,0.0,0.0,11.22,2.07,0.0
20110111:1810,0.0,0.0,10.05,2.07,0.0
20110111:1910,0.0,0.0,10.0,2.07,0.0
20110111:2010,0.0,0.0,8.53,2.07,0.0
20110111:2110,0.0,0.0,7.02,1.86,0.0
20110111:2210,0.0,0.0,6.54,1.66,0.0
20110111:2310,0.0,0.0,5.6,1.72,0.0
20110112:0010,0.0,0.0,4.85,1.66,0.0
20110112:0110,0.0,0.0,4.49,1.66,0.0
20110112:0210,0.0,0.0,4.32,1.52,0.0
20110112:0310,0.0,0.0,3.96,1.38,0.0
20110112:0410,0.0,0.0,4.06,1.17,0.0
20110112:0510,0.0,0.0,4.81,0.83,0.0
20110112:0610,0.0,0.0,4.7,0.69,0.0
20110112:0710,0.0,0.0,4.59,0.83,0.0
20110112:0810,234.29,4.59,3.51,1.1,0.0
20110112:0910,516.98,13.46,5.16,0.83,0.0
20110112:1010,782.98,20.69,8.26,0.97,0.0
20110112:1110,877.32,25.69,10.4,1.17,0.0
20110112:1210,944.13,27.9,11.86,0.97,0.0
20110112:1310,903.48,27.01,12.86,0.83,0.0
20110112:1410,780.51,23.15,13.33,0.69,0.0
20110112:1510,584.35,16.8,13.75,0.28,0.0
20110112:1610,314.2,8.57,13.4,0.83,0.0
20110112:1710,0.0,0.0,11.78,1.93,0.0
20110112:1810,0.0,0.0,9.93,2.0,0.0
20110112:1910,0.0,0.0,8.99,1.79,0.0
20110112:2010,0.0,0.0,7.83,1.59,0.0
20110112:2110,0.0,0.0,8.67,1.1,0.0
20110112:2210,0.0,0.0,8.24,1.1,0.0
20110112:2310,0.0,0.0,7.0,1.03,0.0
20110113:0010,0.0,0.0,5.3,1.1,0.0
20110113:0110,0.0,0.0,4.36,1.1,0.0
20110113:0210,0.0,0.0,3.68,1.17,0.0
20110113:0310,0.0,0.0,2.69,1.38,0.0
20110113:0410,0.0,0.0,2.25,1.45,0.0
20110113:0510,0.0,0.0,2.07,1.38,0.0
20110113:0610,0.0,0.0,2.01,1.31,0.0
20110113:0710,0.0,0.0,2.63,1.24,0.0
20110113:0810,208.75,4.65,2.61,1.24,0.0
20110113:0910,441.42,13.54,4.23,1.03,0.0
20110113:1010,695.75,20.8,5.65,0.97,0.0
20110113:1110,834.3,25.83,7.36,0.69,0.0
20110113:1210,877.4,28.06,9.16,0.41,0.0
20110113:1310,838.6,27.19,10.71,0.48,0.0
20110113:1410,678.22,23.34,11.7,0.69,0.0
20110113:1510,460.42,16.99,12.08,0.83,0.0
20110113:1610,254.86,8.75,11.81,0.76,0.0
20110113:1710,0.0,0.0,10.86,0.97,0.0
20110113:1810,0.0,0.0,9.67,0.69,0.0
20110113:1910,0.0,0.0,9.32,0.83,0.0
20110113:2010,0.0,0.0,8.56,0.28,0.0
20110113:2110,0.0,0.0,7.78,0.41,0.0
20110113:2210,0.0,0.0,6.97,1.1,0.0
20110113:2310,0.0,0.0,3.9,1.59,0.0
20110114:0010,0.0,0.0,3.05,1.52,0.0
20110114:0110,0.0,0.0,2.42,1.31,0.0
20110114:0210,0.0,0.0,1.9,1.1,0.0
20110114:0310,0.0,0.0,1.79,1.17,0.0
20110114:0410,0.0,0.0,1.58,1.1,0.0
20110114:0510,0.0,0.0,1.52,1.03,0.0
20110114:0610,0.0,0.0,1.56,1.03,0.0
20110114:0710,0.0,0.0,1.56,1.03,0.0
20110114:0810,211.19,4.72,1.54,1.1,0.0
20110114:0910,536.03,13.63,2.93,0.9,0.0
20110114:1010,744.45,20.92,4.36,0.83,0.0
20110114:1110,888.39,25.98,6.44,0.69,0.0
20110114:1210,948.45,28.23,8.44,0.55,0.0
20110114:1310,909.57,27.38,10.21,0.48,0.0
20110114:1410,786.8,23.53,11.27,0.69,0.0
20110114:1510,580.34,17.18,11.73,0.97,0.0
20110114:1610,323.56,8.94,11.44,1.24,0.0
20110114:1710,0.0,0.0,10.15,1.52,0.0
20110114:1810,0.0,0.0,8.36,1.52,0.0
20110114:1910,0.0,0.0,7.77,1.24,0.0
20110114:2010,0.0,0.0,8.64,0.48,0.0
20110114:2110,0.0,0.0,7.78,0.48,0.0
20110114:2210,0.0,0.0,6.36,1.03,0.0
20110114:2310,0.0,0.0,4.13,1.24,0.0
20110115:0010,0.0,0.0,2.81,1.38,0.0
20110115:0110,0.0,0.0,2.14,1.38,0.0
20110115:0210,0.0,0.0,1.49,1.24,0.0
20110115:0310,0.0,0.0,1.19,0.97,0.0
20110115:0410,0.0,0.0,1.01,1.03,0.0
20110115:0510,0.0,0.0,0.83,1.03,0.0
20110115:0610,0.0,0.0,0.81,1.1,0.0
20110115:0710,0.0,0.0,0.95,1.17,0.0
20110115:0810,204.25,4.79,1.23,1.24,0.0
20110115:0910,530.29,13.73,2.78,1.1,0.0
20110115:1010,738.32,21.04,4.71,1.03,0.0
20110115:1110,876.03,26.13,6.84,0.83,0.0
20110115:1210,936.45,28.41,8.97,0.69,0.0
20110115:1310,897.51,27.57,10.55,0.69,0.0
20110115:1410,61.14,23.73,11.58,0.76,0.0
20110115:1510,582.72,17.38,12.01,0.76,0.0
